"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Rawan AlMusayid","Project T","Position prices","4-Submitted - Under Evaluation","30/11/2026","11/08/2024","Giga","","Sell Direct","MPO","Non Etimad","","1500000","10/09/2024"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","OP-2024-152474 MOD stc MOH EA ccc","6-Cancelled","26/04/2026","26/01/2025","Sales & BD 1","","Sell Through solutions","MPO","Non Etimad","","34346724","29/01/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","OP-2024-152419 - MOD Arkan Buildings","7-Handover Completed","29/03/2026","06/02/2025","Sales & BD 1","","Sell Through solutions","MPO","Non Etimad","","17313799","13/02/2025"
"Rawan AlMusayid","ASMO","RFP labor - project 24","6-Dropped","31/03/2026","13/02/2025","Sales & BD 1","","Sell Direct","MPO","Non Etimad","","1500000","20/03/2025"
"Bayan AlOlayan","Ministry of Municipal And Rural Affairs-Riyadh","My City Offices Operations V.1 Project","6-Cancelled","06/07/2026","19/03/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-0128","120000000","06/07/2026"
"Majid Al-Faifi","SDAIA - National Information Center","Meteorological Platform Project","6-Lost","01/02/2026","15/04/2025","Sales & BD 2","RFP","Sell Through solutions","MPO","Etimad","SF-2025-0209","8000000","20/04/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD Mega Project","6-Cancelled","03/02/2026","17/04/2025","Sales & BD 1","RFP","Sell Direct","Facility Management","Non Etimad","SF-2025-0217","107011435","31/07/2025"
"Ali Bin Zeair","Solutions by stc","Novation Agreement with Solutions & CCC & Schenker","6-Dropped","10/09/2026","23/04/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-0258","0","09/09/2026"
"Ziyad Aldriwish","General Authority of Civil Aviation","Customer Care Center - CC","6-Lost","08/02/2026","23/04/2025","Sales & BD 1","RFI","Sell Direct","CLM","Non Etimad","SF-2025-0260","30897011","19/06/2025"
"Rawan AlMusayid","The National Unified Procurement Company","iNupco Framework Agreement Manpower","6-Cancelled","02/07/2026","24/04/2025","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2025-0268","1500000","15/05/2025"
"Ali Bin Zeair","SCCC","Manpower Outsourcing Requirement KSA _ Alibaba","6-Lost","23/02/2026","28/04/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0278","15000000","26/07/2025"
"Majid Al-Faifi","Ministry of Interior - Public Security","Operation and Maintenance of Systems at the National Center for Security Operations in Riyadh","6-Lost","01/02/2026","28/04/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Etimad","SF-2025-0285","39998994","30/04/2025"
"Ali Bin Zeair","Pulse by solutions","Giza E2E SCM Supply Chain  Centralization","7-Handover Completed","13/01/2026","29/04/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-0306","2183104","07/10/2025"
"Khalid AlEnezi","Private Affairs of King Salman bin Abdulaziz","Maintenance and Operations","4-Submitted - Under Evaluation","17/12/2026","30/04/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-0318","4109228","15/05/2025"
"Fajer Alsalloum","Diriyah Gate Development Authority","OP-2025-156150 | Diriyah Co.(DC) | Level 1 (L1) Support Contract for Network","6-Cancelled","21/04/2026","05/05/2025","Giga","RFP","Sell Through solutions","MPO","Non Etimad","SF-2025-0333","2167140","15/05/2025"
"Raed Hammad","Center3","IT Dep ? Resources","7-Handover Completed","19/05/2026","13/05/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-0375","1538020","15/05/2025"
